top - 09:14:36 up 1 day,  6:54,  2 users,  load average: 1,06, 0,28, 0,1
Tasks: 161 total,   3 running, 155 sleeping,   3 stopped,   0 zombie
%Cpu(s):  0,5 us,  0,1 sy,  0,0 ni, 99,0 id,  0,4 wa,  0,0 hi,  0,1 si, 
KiB Mem :  1016120 total,    96116 free,   473172 used,   446832 buff/ca
KiB Swap:  2095100 total,  2092080 free,     3020 used.   346256 avail M

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+
   64 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   65 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   66 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   67 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   68 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   69 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   70 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   71 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   72 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   73 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   74 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   75 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   76 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   77 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   78 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   79 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   80 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   81 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   83 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   87 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  100 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  101 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  140 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  148 root       0 -20       0      0      0 S   0,0  0,0   0:01.93
  152 root      20   0       0      0      0 S   0,0  0,0   0:00.00
  153 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  154 root      20   0       0      0      0 S   0,0  0,0   0:00.00
  156 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  180 root      20   0       0      0      0 S   0,0  0,0   0:03.22
  181 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  213 root      20   0       0      0      0 S   0,0  0,0   0:00.00
  228 root      20   0   36984   7400   2872 S   0,0  0,7   0:01.67
  252 root      20   0   45360   4608   3084 S   0,0  0,5   0:00.64
  332 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  365 systemd+  20   0  102384   2528   2308 S   0,0  0,2   0:00.31
  380 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
  504 root      20   0       0      0      0 S   0,0  0,0   0:00.08
  550 root      20   0       0      0      0 S   0,0  0,0   0:00.02
  563 ian       20   0   50368   4040   3464 R   0,0  0,4   0:00.00
  593 whoopsie  20   0  525940  12672  10904 S   0,0  1,2   0:00.30
  597 root      20   0   37604   3284   2996 S   0,0  0,3   0:00.22
  604 root      20   0  300012   8764   7688 S   0,0  0,9   0:02.26
  633 root      20   0    4400   1356   1264 S   0,0  0,1   0:00.01
  636 syslog    20   0  256396   3276   2664 S   0,0  0,3   0:00.44
  665 root      20   0  202280  10508   9064 S   0,0  1,0   0:00.20
  672 root      20   0   28624   3232   2856 S   0,0  0,3   0:00.15
  676 root      20   0  337392  10484   6748 S   0,0  1,0   0:00.08
  681 message+  20   0   43704   4864   3620 S   0,0  0,5   0:01.85
  728 root      20   0  274820   9620   8388 S   0,0  0,9   0:00.02
  730 root      20   0  392284  19400  14624 S   0,0  1,9   0:01.92
  800 root      20   0  294452  10016   7484 S   0,0  1,0   0:00.72
  810 root      20   0  292164   8216   7196 S   0,0  0,8   0:00.06
  813 root      20   0   19472    232      0 S   0,0  0,0   0:02.86
  827 root      20   0  274488  50940  33888 S   0,0  5,0   0:07.74
  837 root      20   0   65520   6108   5392 S   0,0  0,6   0:00.03
  878 nobody    20   0   61464   4552   4160 S   0,0  0,4   0:00.14
  934 root      10 -10   19968    368      0 S   0,0  0,0   0:00.00
  935 root      10 -10   22056   6080   3544 S   0,0  0,6   0:07.62
 1102 root      20   0   24536   1780   1640 S   0,0  0,2   0:00.00
 1113 root      10 -10   24640   1932   1472 S   0,0  0,2   0:00.00
 1114 root      10 -10  248556  35796   7460 S   0,0  3,5   1:40.33
 1128 root      20   0   23952   2840   2292 S   0,0  0,3   0:00.00
 1168 root      20   0  293252  26572  20432 S   0,0  2,6   0:04.71
 1209 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1210 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1211 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1212 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1213 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1225 root      20   0  226176   6564   5764 S   0,0  0,6   0:00.01
 1229 lightdm   20   0   45212   4932   4076 S   0,0  0,5   0:00.07
 1231 lightdm   20   0   63212   1604      0 S   0,0  0,2   0:00.00
 1238 lightdm   20   0    4508    856    776 S   0,0  0,1   0:00.00
 1243 lightdm   20   0   43120   3604   2968 S   0,0  0,4   0:00.60
 1244 lightdm   20   0  959588  97880  52144 S   0,0  9,6   0:11.45
 1246 lightdm   20   0  353656   8032   7248 S   0,0  0,8   0:00.00
 1250 lightdm   20   0  283020   6472   5828 S   0,0  0,6   0:00.01
 1255 lightdm   20   0  354424   7308   6516 S   0,0  0,7   0:00.01
 1261 lightdm   20   0   42768   3556   3224 S   0,0  0,3   0:00.00
 1269 lightdm   20   0  206972   6348   5700 S   0,0  0,6   0:00.01
 1276 lightdm   20   0  178532   4676   4220 S   0,0  0,5   0:00.07
 1281 root      20   0   82704   5124   4544 S   0,0  0,5   0:00.00
 1284 lightdm   20   0   54556   4620   3960 S   0,0  0,5   0:00.01
 1286 lightdm   20   0  672100  35084  28216 S   0,0  3,5   0:02.42
 1290 lightdm   20   0  995864  26920  21552 S   0,0  2,6   0:01.60
 1293 lightdm   20   0  368784   8976   8004 S   0,0  0,9   0:00.04
 1294 lightdm   20   0  357764   8104   7300 S   0,0  0,8   0:00.00
 1295 lightdm   20   0  801344  20684  14192 S   0,0  2,0   0:00.92
 1296 lightdm   20   0  481424  14324  12524 S   0,0  1,4   0:01.30
 1297 lightdm   20   0  640384  28824  23080 S   0,0  2,8   0:00.69
 1298 lightdm   20   0  684392  14368  10564 S   0,0  1,4   0:00.08
 1299 lightdm   20   0  579368  10776   7656 S   0,0  1,1   0:00.13
 1318 lightdm   20   0  395940  12632  11200 S   0,0  1,2   0:00.17
 1352 lightdm   20   0  424884  10892   8032 S   0,0  1,1   0:00.30
 1354 rtkit     21   1  183544   3000   2716 S   0,0  0,3   0:00.91
 1373 root      20   0  355860  12496   9040 S   0,0  1,2   0:01.85
 1385 colord    20   0  322136  13160  10272 S   0,0  1,3   0:00.27
 1400 ian       20   0   45212   4868   4016 S   0,0  0,5   0:00.06
 1402 ian       20   0  145140   1632      0 S   0,0  0,2   0:00.00
 2134 lightdm   20   0  484316  30228  25380 S   0,0  3,0   0:00.61
 6191 root      20   0   97528  44908   7724 S   0,0  4,4   0:00.76
 8116 root      20   0   97608  44772   7636 S   0,0  4,4   0:00.77
30395 root      20   0       0      0      0 S   0,0  0,0   0:00.00
30555 root      20   0   97472   6936   5980 S   0,0  0,7   0:00.02
30602 ian       20   0   97472   4408   3432 S   0,0  0,4   0:03.68
30603 ian       20   0   32312   6800   3776 S   0,0  0,7   0:00.35
30662 root      20   0   97472   6984   6032 S   0,0  0,7   0:00.02
30710 ian       20   0   97472   4484   3532 S   0,0  0,4   0:01.67
30711 ian       20   0   31412   6004   3876 S   0,0  0,6   0:00.40
31838 ian       20   0   18268   2716   2492 T   0,0  0,3   0:00.00
31839 root      20   0   63392   4384   3908 T   0,0  0,4   0:00.00
31840 root      20   0   44500   5656   4884 T   0,0  0,6   0:00.00
32252 root      20   0   16120   3580   2728 S   0,0  0,4   0:02.81
32733 root      20   0       0      0      0 S   0,0  0,0   0:00.18
